SECTION 1: CREDIT CARDS AND CREDIT SCORES|Unnamed: 1|Unnamed: 2|Unnamed: 3|Unnamed: 4
DESCRIPTION|Questions|AnswerChoices|AnswerPointValue|AnswerExplanation
Hi! I'm Maya! I'm a 14-year-old aspiring musician. I can be an impulsive shopper and I lack knowledge about credit basics. I wants to buy my dream guitar on credit but don't understand how credit scores work. I hope you can help me learn more about them!|"Question 1
You see a store offering a credit card with 20% off your first purchase. What do you do?"|Apply for the card and use it immediately for the discount.|0|While the discount seems attractive, applying for too many credit cards can hurt your score. Use credit cards wisely to avoid long-term financial consequences.
||Ask your parents for advice before applying.|5|Consulting an adult can help you understand the terms and potential risks of opening a new credit account. It’s a cautious approach.
||Decide to wait until you’ve learned more about credit cards.|10|Great choice! Waiting allows you to research how credit cards work and how they impact your score before making a decision.
|"Question 2
Your credit card bill arrives, and you don’t have enough to pay it off completely. What do you do?"|Pay only the minimum amount due.|0|Paying the minimum avoids late fees but leads to interest charges, which can pile up over time. Your balance may grow despite your payments.
||Borrow money from a friend to pay the full amount.|5|While this avoids interest, it may strain your friendship. It's important to repay your friend promptly if you choose this option.
||Cut back on other expenses and pay as much as you can.|10|Prioritizing your credit card payment minimizes interest charges and protects your credit score. This demonstrates good financial discipline.
|"Question 3
Your credit card company offers to increase your credit limit. What do you do?
"|Accept the increase and spend more.|0|Be careful! Increasing your credit limit can lead to overspending, which may hurt your credit score if you can’t pay the balance.
||Accept the increase but continue using your card responsibly.|10|This is a good choice! A higher limit can improve your credit utilization rate, positively impacting your score if you don’t overspend.
||Decline the increase; it’s not necessary.|10|If you’re worried about overspending, declining the increase can help you stay on track financially.
|"Question 4
You’ve been pre-approved for a second credit card. What do you do?"|Sign up immediately to have more credit available.|0|Be cautious. Having multiple cards can hurt your credit score if not managed properly. Only open accounts you truly need.
||Compare its terms with your current card before deciding.|7|Good idea! Comparing terms like interest rates and fees ensures you make the best choice for your needs.
||Decline the offer to focus on managing your first card responsibly.|10|Great choice for beginners! Focusing on one card helps you build good habits before taking on additional credit.
|"Question 5
You’re tempted to max out your credit card to buy concert tickets. What do you do?"|Go ahead; you’ll figure out payments later.|0|Maxing out your card hurts your credit utilization rate and score. It also leads to high interest if not paid quickly.
||Use your card for some of the cost and save up for the rest.|7|Balancing spending with saving prevents overextending your credit and minimizes interest charges.
||Skip the tickets and set a savings goal for future concerts.|10|A wise decision! Delayed gratification helps you avoid debt and financial stress.
|"Question 6
You receive a credit card offer promising “cash back on every purchase.” What do you do?
"|Sign up immediately and start earning rewards.|0|Rewards programs can be helpful but only if you pay your balance in full every month. Otherwise, interest charges outweigh rewards.
||Research and compare other credit cards before deciding.|10| Smart move! Comparing options ensures you choose a card with terms that match your spending habits and needs.
